"";"x"
"14708";"@yanisvaroufakis Γιανννη πρωτα το λεξο και μετα το ζαναξ.Μην μπερδευεις την σειρα σε παρακαλω"
"14709";"Θα ταξιδευατε με αεροπλάνο για 2000 ευρώ ;"
"14710";"Οι κωμικές καταστάσεις εναλλάσσονται με μια ρεαλιστική πραγματικότητα σε μια αφήγηση με πικρό τέλος όπου ο φόβος της μοναξιάς και του θανάτου παραμένει αναλλοίωτος στο χρόνο, ανεξαρτήτου εποχής."
"14711";"Ο φετινός χειμώνας <U+2744><U+FE0F> ήταν με διαφορά ο πιο #θερμός <U+0001F321><U+FE0F> στην #Ευρώπη από το 1855, σύμφωνα με την ευρωπαϊκή υπηρεσία @CopernicusEU #Climate #Change #Service."
"14712";"της έπαρσης,"
"14713";"<U+0001F324><U+FE0F>ΚΑΛΟ ΣΑΒ/ΚΟ ΣΑΣ ΕΥΧΟΜΑΙ<U+0001F324><U+FE0F>"
"14714";"<U+2764><U+FE0F><U+2615><U+FE0F><U+0001F339>ΝΑ ΠΡΟΣΕΧΕΤΕ<U+2764><U+FE0F><U+2615><U+FE0F><U+0001F339> "
"14715";"@AntipAidinov @KOT4Q Ωραίος"
"14716";"Καλή δύναμη!"
"14717";"@aeisixtir Ενώ όσοι ψηφίζουν <U+02BC>δωνη Κικίλια Βορίδη Μητσοτάκη είναι καλύτεροι..."
"14718";"@aeisixtir Ξέχασα τον Μπογδάνο."
"14719";"@StefanosNtampos Σωστός!!!!!!!<U+0001F918>"
"14720";"Όταν λες «σ<U+0092>αγαπώ» ταΐζεις το μικρό τέρας μέσα μου. "
"14721";"@theodoraaigina Χρόνια πολλά με υγεία αγάπη ευτυχία χαρά και χαμόγελο <U+0001F339><U+0001F339><U+0001F339><U+0001F382><U+0001F382><U+0001F382><U+0001F339><U+0001F339><U+0001F339><U+0001F382><U+0001F382><U+0001F382><U+0001F339><U+0001F339><U+0001F339> "
"14722";"@Mandravelis Ανθέλληνας  Αντίχριστος Μνημονιακός Νεοταξίτης"
"14723";"@sapies_kaltses Χωρίς να θέλω να σε σοκάρω, θα σου πω ότι αυτό δεν είναι αίτημα που τυπικά απευθύνεις σε μια παρθένο"
"14724";"Πολύ ωραίο και σωστό "
"14725";"Μέχρι τις 10 με τα αγορια κουκλιά στο @thema_radio Βασίλης Γουλας &amp; Τάσος Νιτσος "
"14726";"Ο ΠΑΛΜΟΣ του Σαββάτου 7 Μαρτίου 2020 -  "
"14727";"Αφιέρωμα του Αρχείου της ΕΡΤ στη Μελίνα Μερκούρη  "
"14728";"""Πόσο δυνατοί γινόμαστε, όταν δεν μπορούμε να θυμηθούμε ― και πόσο εύκολο είναι, τότε, να αγαπήσουμε"". "
"14729";"@_Lila_Pause_ Είδες? Τζάμπα θα τα εσπαγες όλα. Κ κρατα τα δάκρυα για τις χαρές που θα έρθουν!!"
"14730";"Ο Νεοζηλανδός χημικός εξήγησε το γιατί όταν πυροβόλησε με σωματίδια άλφα ένα λεπτό φύλλο χρυσού, κάποια σωματίδια ανακλάστηκαν προς τα πίσω"
"14731";"Πάμε να ξυπνήσουμε! Έχουμε δουλειές! Ποιο σαββατοκύριακο; Καλημερες!"
"14732";"@iltheof Ο τύπος δεν υπάρχει! Και τον πληρώνουμε εμείς"
"14733";"@rapidis Κύριε Ραπ. Μην ξεχάσεις ποιος βάζει τις φωτιές το καλοκαίρι! <U+0001F602>"
"14734";"Ικέτης Ερντογάν, νικητής Πούτιν"
"14735";""
"14736";"Ε παιδιά ακούστε λίγο "
"14737";"- Δεν βλέπω καν."
"14738";"@ltsprobablyme Ποια πεταλούδα μωρέ? Μπορεί ο εικονιζόμενος να βλέπει πεταλούδες πάντως <U+0001F602><U+0001F923><U+0001F602>"
"14739";"@nikosarantakos Και ακόμα πάτε...."
"14740";"@iwdis @mektoub77 Πώς θα έμενε με άδεια τα χέρια, σύμφωνα με το υποθετικό σενάριο του... φωστήρα θα είχαμε νικήσει την Εφές αφού θα είχε βάλει 6 λιγότερα τρίποντα! <U+0001F602>"
"14741";"Νύσταξα Αγγελική, τελείωνε #fosstotounel "
"14742";"@Budapestian1 @Matta1927 @HadiNasrallah Ο μαναβης θεωρειται μεσαια ταξη στην μαρξιστική φιλοσοφια, οπως οι ελευθεροι επαγγελματιες και οι μικρο-μεσαιοι επιχειρηματίες"
"14743";"@partikof Έλα σταματα... ντρέπομαι <U+0001F60E>"
"14744";"Ποια είναι η τεράστια εταιρεία ?? #fosstotounel"
"14745";NA
"14746";NA
"14747";NA
"14748";NA
"14749";NA
"14750";NA
"14751";NA
"14752";NA
"14753";NA
"14754";NA
"14755";NA
"14756";NA
"14757";NA
"14758";NA
"14759";NA
"14760";NA
"14761";NA
"14762";NA
"14763";NA
"14764";NA
"14765";NA
"14766";NA
"14767";NA
"14768";NA
"14769";NA
"14770";NA
"14771";NA
"14772";NA
"14773";NA
"14774";NA
"14775";NA
"14776";NA
"14777";NA
"14778";NA
"14779";NA
"14780";NA
"14781";NA
"14782";NA
"14783";NA
"14784";NA
"14785";NA
"14786";NA
"14787";NA
"14788";NA
"14789";NA
"14790";NA
"14791";NA
"14792";NA
"14793";NA
"14794";NA
"14795";NA
"14796";NA
"14797";NA
"14798";NA
"14799";NA
"14800";NA
"14801";NA
"14802";NA
"14803";NA
"14804";NA
"14805";NA
"14806";NA
"14807";NA
"14808";NA
"14809";NA
"14810";NA
"14811";NA
"14812";NA
"14813";NA
"14814";NA
"14815";NA
"14816";NA
"14817";NA
"14818";NA
"14819";NA
"14820";NA
"14821";NA
"14822";NA
"14823";NA
"14824";NA
"14825";NA
"14826";NA
"14827";NA
"14828";NA
"14829";NA
"14830";NA
"14831";NA
"14832";NA
"14833";NA
"14834";NA
"14835";NA
"14836";NA
"14837";NA
"14838";NA
"14839";NA
"14840";NA
"14841";NA
"14842";NA
"14843";NA
"14844";NA
"14845";NA
"14846";NA
"14847";NA
"14848";NA
"14849";NA
"14850";NA
"14851";NA
"14852";NA
"14853";NA
"14854";NA
"14855";NA
"14856";NA
"14857";NA
"14858";NA
"14859";NA
"14860";NA
"14861";NA
"14862";NA
"14863";NA
"14864";NA
"14865";NA
"14866";NA
"14867";NA
"14868";NA
"14869";NA
"14870";NA
"14871";NA
"14872";NA
"14873";NA
"14874";NA
"14875";NA
"14876";NA
"14877";NA
"14878";NA
"14879";NA
"14880";NA
"14881";NA
"14882";NA
"14883";NA
"14884";NA
"14885";NA
"14886";NA
"14887";NA
"14888";NA
"14889";NA
"14890";NA
"14891";NA
"14892";NA
"14893";NA
"14894";NA
"14895";NA
"14896";NA
"14897";NA
"14898";NA
"14899";NA
"14900";NA
"14901";NA
"14902";NA
"14903";NA
"14904";NA
"14905";NA
"14906";NA
"14907";NA
"14908";NA
"14909";NA
"14910";NA
"14911";NA
"14912";NA
"14913";NA
"14914";NA
"14915";NA
"14916";NA
"14917";NA
"14918";NA
"14919";NA
"14920";NA
"14921";"@gingercraze Γλυκό, πικρό,αλμυρό;"
"14922";"Σταμάτη οι οπαδοί του ΣΥΡΙΖΑ σε βρίζουν ,εσυ γιατί βάζεις πλάτη στις δοξασίες τους;Νομίζεις ότι θα γίνεις αρεστός σε αυτόν τον συρφετό; "
"14923";"""Ελλάδα άσε το blame game"" - Η απάντηση της Τουρκίας στη συνέντευξη Μητσοτάκη -  "
"14924";"@sav_george @taksidiotis_ Με μόρια ή με Μόρια?"
"14925";"Και για πόλεμο "
"14926";"@la_denmelen Όπως βλέπεις το έχω γράψει από την προηγούμενη εβδομάδα. Θα χαρώ να το κοινοποιήσεις ή να το διατυπώσεις με δικά σου λόγια. "
"14927";"Οι ΣΥΡΙΖΑιοι διαμαρτύρονται ότι δεν καταλαβαίνουν την επεκτατική πολιτική που ακολουθεί ο Ερντογάν στα δικά μας σύνορα (όπως έχει κάνει με Συρία και Λιβύη), λογικό είναι δεν τους παρεξηγώ ούτε εσείς πρέπει, το μοναδικό γεγονός που θεωρούν ιστορία είναι η αντίσταση της Δαμανάκη."
"14928";"@AlfredoSaltiel Αυτό είναι &lt;&lt; επιχείρηση &gt;&gt; .... ως οικογένεια, με σεβασμό, με χαρά, με Ικανοποίηση ! "
"14929";""
"14930";"#NowPlaying on #Mikrasiatis_Radio "
"14931";"Πόσο ποντίκι πρέπει να είσαι για να αποδέχεσαι τέτοιες εντολές @GKoumoutsakos @nmitarakis? Όλα για την υπουργική καρέκλα; Ακόμα και κόντρα στο συμφέρον της χώρας, αρκεί να ικανοποιήσει ο @kmitsotakis την ακροδεξιά εντός σας; Μην ακούτε τι λένε, κάποιες δουλειές ΕΙΝΑΙ ντροπή. "
"14932";"#GOSSIP Ιβάν Σβιτάιλο: Η νεογέννητη κόρη του στο instagram με νταντά τον σκύλο του "
"14933";"#TVREPORT Τα πρωτοσέλιδα των κυριακάτικων εφημερίδων "
"14934";"Η Κίνα ανακοίνωσε σήμερα 28 νέους θανάτους, ανεβάζοντας τον συνολικό απολογισμό σε 3. "
"14935";"Σκόπελος: Μεγάλη στρατιωτική επιχείρηση για εξουδετέρωση νάρκης "
"14936";"--"
"14937";"@AthanShelby Λεω να μην το σχολιάσω"
"14938";"Σ'αγαπω για αυτό που είσαι, για ο, τι έχεις κάνει για μένα (ξέρεις εσύ) και επειδή είμαστε ίδια ζωντοβολα. Χρόνια πολλά αγαπημένο μου βλήμα @litsamoumoiazei <U+2764><U+FE0F><U+2764><U+FE0F> "
"14939";"@minaarnaouti Ποια είσαι συ είπαμε;"
"14940";"@litsamoumoiazei @VassilisNalba Σου έκανα και τουι ΟΥΣΤ ΓΕΛΟΙΑ"
"14941";"απίστευτο που με κρατάει ακόμα στην 16η σεζόν. μ αρέσει κανονικά. καλά στο επ που είχε σκηνές από παλιά τρελάθηκα"
"14942";"Ο άνδρας εγκλωβίστηκε μεταξύ δυο οχημάτων με αποτέλεσμα τον θανάσιμο τραυματισμό του #Κρήτη "
"14943";"Σε κατ'οίκον περιορισμό μαζί με την οικογένειά του. #κορωνοιος #coronavirus "
"14944";"@orestis_113 αυτοι και οσοι οδηγουν αποδεδειγμενα μεθυσμενοι, κατασχεση και το αυτοκινητο"
"14945";"@Marka149133376 ΟΧΙτζής του 15 με τυπωμενα λεφτα απο Λαφα και στοκαρισμενα μακαρονια"
"14946";"@Estarian γουσταρουν κορονοιο αυτοι!τον πανε με χιλια"
"14947";"Αχλάδι ή μήλο: Ποιο φρούτο βγαίνει «νικητής»; "
"14948";"Η φτώχεια στην παιδική ηλικία επηρεάζει τον εγκέφαλο "
"14949";"Κοροναϊός: Δραματική η κατάσταση στην Ιταλία <U+0096> 1.145 κρούσματα σε μια μέρα <U+0096> 233 οι νεκροί "
"14950";"Κοροναϊός και εργασία: Απουσία λόγω ασθενείας από την δουλεία <U+0096> Τι ισχύει "
"14951";""
"14952";"Κοροναϊός: Κατέρρευσε ξενοδοχείο με ασθενείς σε καραντίνα <U+0096> Δεκάδες εγκλωβισμένοι στα συντρίμμια "
"14953";""
"14954";"BBC <U+0096> Θουρία: Μια αρχαία πόλη ανακαλύπτεται<U+0085> ξανά (vids) "
"14955";""
"14956";"Κάντε ηλεκτροφόρα τα  συρματοπλέγματα στα σύνορά μας να δω κάτι που θέλω!!!"
"14957";"Μεταναστευτικό: Οργιάζει η προπαγάνδα στα σύνορα - Βάζουν τους μετανάστες να φωνάζουν «ζήτω η Τουρκία» (βίντεο) "
"14958";"Σαν σήμερα το 1948: "
"14959";""
"14960";"@stamatismalelis Ας στείλουμε μαζί με τους τζιχαντιστές και τους φίλους τους. Θα γλιτώσουμε και από τα τηλεσκουπίδια που μας ταϊζουν κάποια απο αυτά τα σκουπίδια"
"14961";"@litsagd @angie22gr Εμεις οχι,αλλες ναι"
"14962";"θα `βγαζα τη βέρα απ<U+0092> το χέρι μου "
"14963";"@the_hound_dog @mindcontrol1402 Φχαριστούμε, Αντρίκο.<U+0001F49B><U+0001F60A><U+0001F64F> Χρόνια πολλά @mindcontrol1402 <U+0001F37B><U+2764>"
"14964";"@MasterArmor93 Θενκς, φιλαράκι μου.<U+0001F60A><U+2764><U+0001F64F>"
"14965";"Μαζικές απελάσεις σκατόγυφτων "
